cardName,minSpend,annualFee,cardReward,cardImage
AMERICAN EXPRESS BUSINESS PLATINUM,"$15,000",$799,"120,000 Membership Rewards",./images/AMERICAN-EXPRESS-BUSINESS-PLATINUM-image.png
TD AEROPLAN VISA INFINITE PRIVILEGE,"$12,000",$599,"100,000 Aeroplan",./images/TD-AEROPLAN-VISA-INFINITE-PRIVILEGE-image.png
AMERICAN EXPRESS PLATINUM,"$10,000",$799,"100,000 Membership Rewards",./images/AMERICAN-EXPRESS-PLATINUM-image.png
AMERICAN EXPRESS AEROPLAN BUSINESS RESERVE,"$27,000",$599,"95,000 Aeroplan",./images/AMERICAN-EXPRESS-AEROPLAN-BUSINESS-RESERVE-image.png
TD AEROPLAN VISA BUSINESS,"$30,000",$149 (FYF),"65,000 Aeroplan",./images/TD-AEROPLAN-VISA-BUSINESS-image.png
AMERICAN EXPRESS BUSINESS GOLD,"$5,000",$199,"70,000 Membership Rewards",./images/AMERICAN-EXPRESS-BUSINESS-GOLD-image.png
CIBC AEROPLAN VISA INFINITE PRIVILEGE,"$25,000",$599,"90,000 Aeroplan",./images/CIBC-AEROPLAN-VISA-INFINITE-PRIVILEGE-image.png
AMERICAN EXPRESS AEROPLAN RESERVE,"$18,000",$599,"90,000 Aeroplan",./images/AMERICAN-EXPRESS-AEROPLAN-RESERVE-image.png
CIBC AVENTURA VISA INFINITE PRIVILEGE,"$6,000",$499,"80,000 Aventura",./images/CIBC-AVENTURA-VISA-INFINITE-PRIVILEGE-image.png
AMERICAN EXPRESS GOLD,"$12,000",$250,"60,000 Membership Rewards",./images/AMERICAN-EXPRESS-GOLD-image.png
TD AEROPLAN VISA INFINITE,"$7,500",$139 (FYF),"50,000 Aeroplan",./images/TD-AEROPLAN-VISA-INFINITE-image.png
BRIM AIR FRANCE KLM WORLD ELITE MASTERCARD,"$15,000",$132,"60,000 Flying Blue Miles",./images/BRIM-AIR-FRANCE-KLM-WORLD-ELITE-MASTERCARD-image.png
RBC BRITISH AIRWAYS VISA INFINITE,"$6,000",$165,"60,000 Avios + $100",./images/RBC-BRITISH-AIRWAYS-VISA-INFINITE-image.png
AMERICAN EXPRESS BUSINESS EDGE,"$5,000",$99,"45,000 Membership Rewards",./images/AMERICAN-EXPRESS-BUSINESS-EDGE-image.png
CIBC AVENTURA VISA INFINITE,"$3,000",$139 (FYF),"40,000 Aventura",./images/CIBC-AVENTURA-VISA-INFINITE-image.png
CIBC AVENTURA GOLD,"$3,000",$139 (FYF),"40,000 Aventura",./images/CIBC-AVENTURA-GOLD-image.png
TD BUSINESS TRAVEL VISA,"$30,000",$149 (FYF),"175,000 TD Rewards",./images/TD-BUSINESS-TRAVEL-VISA-image.png
AMERICAN EXPRESS AEROPLAN,"$10,000",$120,"40,000 Aeroplan",./images/AMERICAN-EXPRESS-AEROPLAN-image.png
WESTJET RBC WORLD ELITE MASTERCARD,"$5,000",$119,700 WestJet Dollars + $100,./images/WESTJET-RBC-WORLD-ELITE-MASTERCARD-image.png
RBC AVION VISA INFINITE,$0,$120,"35,000 Avion + $100",./images/RBC-AVION-VISA-INFINITE-image.png
CIBC AEROPLAN VISA BUSINESS PLUS,"$3,000",$120 (FYF),"30,000 Aeroplan",./images/CIBC-AEROPLAN-VISA-BUSINESS-PLUS-image.png
CIBC AEROPLAN VISA INFINITE,"$15,000",$139 (FYF),"30,000 Aeroplan",./images/CIBC-AEROPLAN-VISA-INFINITE-image.png
CIBC AEROPLAN VISA BUSINESS,"$3,000",$180 (FYF),"30,000 Aeroplan",./images/CIBC-AEROPLAN-VISA-BUSINESS-image.png
TD FIRST CLASS TRAVEL VISA INFINITE,"$5,000",$139 (FYF),"115,000 TD Rewards",./images/TD-FIRST-CLASS-TRAVEL-VISA-INFINITE-image.png
CIBC AVENTURA VISA BUSINESS,$0,$120 (FYF),"25,000 Aventura",./images/CIBC-AVENTURA-VISA-BUSINESS-image.png
CIBC AVENTURA VISA BUSINESS PLUS,$0,$120 (FYF),"25,000 Aventura",./images/CIBC-AVENTURA-VISA-BUSINESS-PLUS-image.png
RBC AVION VISA PLATINUM,$0,$120,"35,000 Avion",./images/RBC-AVION-VISA-PLATINUM-image.png
SCOTIABANK GOLD AMERICAN EXPRESS,"$7,500",$120,"40,000 Scene+ + $200",./images/SCOTIABANK-GOLD-AMERICAN-EXPRESS-image.png
BMO WORLD ELITE BUSINESS,"$5,000",$120 (FYF),"70,000 BMO Rewards + $0",./images/BMO-WORLD-ELITE-BUSINESS-image.png
BMO AIR MILES WORLD ELITE BUSINESS,"$5,000",$149 (FYF),"3,000 AIR MILES + $0",./images/BMO-AIR-MILES-WORLD-ELITE-BUSINESS-image.png
TD AEROPLAN VISA PLATINUM,"$1,000",$89 (FYF),"20,000 Aeroplan",./images/TD-AEROPLAN-VISA-PLATINUM-image.png
BMO ECLIPSE VISA INFINITE,"$3,000",$120 (FYF),"60,000 BMO Rewards + $0",./images/BMO-ECLIPSE-VISA-INFINITE-image.png
BMO ASCEND WORLD ELITE,"$3,000",$150 (FYF),"60,000 BMO Rewards + $0",./images/BMO-ASCEND-WORLD-ELITE-image.png
SCOTIABANK PLATINUM AMERICAN EXPRESS,"$10,000",$399,"60,000 Scene+ + $175",./images/SCOTIABANK-PLATINUM-AMERICAN-EXPRESS-image.png
TD CASH BACK VISA INFINITE,"$3,500",$139 (FYF),350 Cash back,./images/TD-CASH-BACK-VISA-INFINITE-image.png
AMERICAN EXPRESS MARRIOTT BONVOY,"$1,500",$120,"50,000 Marriott Bonvoy",./images/AMERICAN-EXPRESS-MARRIOTT-BONVOY-image.png
SCOTIABANK PASSPORT VISA INFINITE,"$1,000",$150,"35,000 Scene+ + $125",./images/SCOTIABANK-PASSPORT-VISA-INFINITE-image.png
AMERICAN EXPRESS MARRIOTT BONVOY BUSINESS,"$1,500",$150,"50,000 Marriott Bonvoy",./images/AMERICAN-EXPRESS-MARRIOTT-BONVOY-BUSINESS-image.png
RBC AVION VISA INFINITE BUSINESS,$0,$175,"25,000 Avion",./images/RBC-AVION-VISA-INFINITE-BUSINESS-image.png
SCOTIABANK MOMENTUM VISA INFINITE,"$2,000",$120 (FYF),200 Cash back + $100,./images/SCOTIABANK-MOMENTUM-VISA-INFINITE-image.png
BMO AIR MILES WORLD ELITE,"$3,000",$120 (FYF),"2,000 AIR MILES + $0",./images/BMO-AIR-MILES-WORLD-ELITE-image.png
NEO CATHAY PACIFIC WORLD ELITE MASTERCARD,"$3,000",$180,"30,000 Asia Miles",./images/NEO-CATHAY-PACIFIC-WORLD-ELITE-MASTERCARD-image.png
AMERICAN EXPRESS SIMPLYCASH PREFERRED,"$4,000",$119.88,400 Cash back,./images/AMERICAN-EXPRESS-SIMPLYCASH-PREFERRED-image.png
RBC AVION VISA INFINITE PRIVILEGE,$0,$399,"35,000 Avion",./images/RBC-AVION-VISA-INFINITE-PRIVILEGE-image.png
RBC AVION VISA BUSINESS,$0,$120,"20,000 Avion",./images/RBC-AVION-VISA-BUSINESS-image.png
NATIONAL BANK WORLD ELITE,"$20,000",$150,"40,000 À la carte Rewards + $0",./images/NATIONAL-BANK-WORLD-ELITE-image.png
TD PLATINUM TRAVEL VISA,"$1,000",$89 (FYF),"50,000 TD Rewards",./images/TD-PLATINUM-TRAVEL-VISA-image.png
BMO CASHBACK WORLD ELITE,"$2,500",$120 (FYF),250 Cash back + $0,./images/BMO-CASHBACK-WORLD-ELITE-image.png
TANGERINE MONEY-BACK,"$1,000",$0,100 Cash back + $100,./images/TANGERINE-MONEYBACK-image.png
TANGERINE WORLD,"$1,000",$0,100 Cash back + $100,./images/TANGERINE-WORLD-image.png
AMERICAN EXPRESS GREEN,"$1,000",$0,"10,000 Membership Rewards",./images/AMERICAN-EXPRESS-GREEN-image.png
CIBC AEROPLAN VISA,$0,$0,"10,000 Aeroplan",./images/CIBC-AEROPLAN-VISA-image.png
VANCITY ENVIRO VISA INFINITE,"$3,000",$120 (FYF),"18,000 Vancity Rewards",./images/VANCITY-ENVIRO-VISA-INFINITE-image.png
MBNA REWARDS WORLD ELITE,"$2,000",$120,"30,000 MBNA Rewards",./images/MBNA-REWARDS-WORLD-ELITE-image.png
AMERICAN EXPRESS COBALT,"$9,000",$156,"15,000 Membership Rewards",./images/AMERICAN-EXPRESS-COBALT-image.png
BMO CASHBACK BUSINESS,"$1,500",$0,150 Cash back + $0,./images/BMO-CASHBACK-BUSINESS-image.png
BMO AIR MILES NO-FEE BUSINESS,"$3,000",$0,"1,000 AIR MILES + $0",./images/BMO-AIR-MILES-NOFEE-BUSINESS-image.png
RBC ION+ VISA,$500,$48,"7,000 Avion + $60",./images/RBC-ION-VISA-image.png
BMO ECLIPSE RISE VISA,"$1,500",$0,"20,000 BMO Rewards",./images/BMO-ECLIPSE-RISE-VISA-image.png
BMO CASHBACK,"$2,500",$0,125 Cash back,./images/BMO-CASHBACK-image.png
BMO AIR MILES,"$1,000",$0,800 AIR MILES,./images/BMO-AIR-MILES-image.png
SCOTIABANK AMERICAN EXPRESS,"$5,000",$0,"7,000 Scene+ + $50",./images/SCOTIABANK-AMERICAN-EXPRESS-image.png
RBC ION VISA,$0,$0,"3,500 Avion + $50",./images/RBC-ION-VISA-image.png
WESTJET RBC MASTERCARD,"$1,000",$39,100 WestJet Dollars + $50,./images/WESTJET-RBC-MASTERCARD-image.png
BMO ECLIPSE VISA INFINITE PRIVILEGE,"$6,000",$499,"90,000 BMO Rewards + $0",./images/BMO-ECLIPSE-VISA-INFINITE-PRIVILEGE-image.png
MBNA REWARDS PLATINUM PLUS,$500,$0,"10,000 MBNA Rewards",./images/MBNA-REWARDS-PLATINUM-PLUS-image.png
ROGERS MASTERCARD,"$1,000",$0,100 Cash back + $0,./images/ROGERS-MASTERCARD-image.png
SCOTIABANK SCENE VISA,$750,$0,"5,000 Scene+ + $50",./images/SCOTIABANK-SCENE-VISA-image.png
AMERICAN EXPRESS SIMPLYCASH,"$3,000",$0,100 Cash back,./images/AMERICAN-EXPRESS-SIMPLYCASH-image.png
TD REWARDS VISA,$0,$0,"19,697 TD Rewards",./images/TD-REWARDS-VISA-image.png
NEO CREDIT,$0,$0,0 Cash back + $60,./images/NEO-CREDIT-image.png
NEO SECURED CREDIT,$0,$0,25 Cash back + $30,./images/NEO-SECURED-CREDIT-image.png
VANCITY ENVIRO VISA CLASSIC,"$1,500",$0,"5,000 Vancity Rewards",./images/VANCITY-ENVIRO-VISA-CLASSIC-image.png
SIMPLII FINANCIAL CASH BACK VISA,$500,$0,50 Cash back,./images/SIMPLII-FINANCIAL-CASH-BACK-VISA-image.png
RBC CASH BACK,$0,$0,0 Cash back + $50,./images/RBC-CASH-BACK-image.png
ROGERS WORLD ELITE MASTERCARD,$0,$0,25 Cash back + $0,./images/ROGERS-WORLD-ELITE-MASTERCARD-image.png
PRESIDENTS CHOICE FINANCIAL WORLD ELITE,$0,$0,0 PC Optimum,./images/PRESIDENTS-CHOICE-FINANCIAL-WORLD-ELITE-image.png
CANADIAN TIRE TRIANGLE WORLD ELITE,$0,$0,0 Canadian Tire Money,./images/CANADIAN-TIRE-TRIANGLE-WORLD-ELITE-image.png
CIBC DIVIDEND VISA INFINITE,$0,$120 (FYF),0 Cash back,./images/CIBC-DIVIDEND-VISA-INFINITE-image.png
MANULIFEBANK MONEY+ PLATINUM,$0,$0,0 Cash back,./images/MANULIFEBANK-MONEY-PLATINUM-image.png
SCOTIABANK VALUE VISA,$0,$29 (FYF),0 None,./images/SCOTIABANK-VALUE-VISA-image.png
MANULIFEBANK MONEY+ VISA INFINITE,$0,$120 (FYF),0 Cash back,./images/MANULIFEBANK-MONEY-VISA-INFINITE-image.png
CIBC COSTCO,$0,$0,0 Cash back,./images/CIBC-COSTCO-image.png
CIBC COSTCO WORLD,$0,$0,0 Cash back,./images/CIBC-COSTCO-WORLD-image.png
NATIONAL BANK PLATINUM,$0,$70,0 À la carte Rewards + $0,./images/NATIONAL-BANK-PLATINUM-image.png
RBC CASH BACK PREFERRED WORLD ELITE,$0,$99,0 Cash back + $0,./images/RBC-CASH-BACK-PREFERRED-WORLD-ELITE-image.png
NATIONAL BANK WORLD,$0,$115,0 À la carte Rewards + $0,./images/NATIONAL-BANK-WORLD-image.png
BRIM WORLD ELITE MASTERCARD,$0,$199,0 Cash back,./images/BRIM-WORLD-ELITE-MASTERCARD-image.png
